fon_kodu,grup,kategori,unvan,fon_buyuklugu
VER,BEFAS_klasik,Katılım Katkı Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM  FONU,15409464859.0
GHL,BEFAS_klasik,Katılım Katkı Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,11546707688.0
KEA,BEFAS_klasik,Katılım Katkı Fonu,KATILIM EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,10606754916.0
VKJ,BEFAS_klasik,Başlangıç Fonu,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1898840682.0
GCV,BEFAS_klasik,Başlangıç Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1791128907.0
AHJ,BEFAS_klasik,Başlangıç Fonu,AGESA HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1586645761.0
AMY,BEFAS_klasik,Karma Fon,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA GRUP EMEKLİLİK YATIRIM FONU,817589996.0
AVY,BEFAS_klasik,Karma Fon,AGESA HAYAT VE EMEKLİLİK A.Ş. KARMA GRUP EMEKLİLİK YATIRIM FONU,134163798.0
AVH,BEFAS_klasik,Endeks Fon,AGESA HAYAT VE EMEKLİLİK A.Ş. BIST TEMETTÜ 25 ENDEKSİ EMEKLİLİK YATIRIM FONU,574999869.0
HHG,BEFAS_klasik,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU,4849801429.0
BKB,BEFAS_klasik,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,49374105.0
GHK,BEFAS_klasik,Dış Borçlanma Araçları Fonu,GARANTİ EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,1111102073.0
