fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,pys,kategori,fon_buyuklugu,yatirimci_sayisi
AH2,ANADOLU HAYAT EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,1,0.99,ANADOLU HAYAT EMEKLİLİK A.Ş.,Para Piyasası Fonu,44732853649,196848
AHJ,AGESA HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,AGESA HAYAT VE EMEKLİLİK A.Ş.,Başlangıç Fonu,1586645761,123258
ALZ,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,2,0.85,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Başlangıç Fonu,822840411,119844
AMF,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.32,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,39695114004,1435749
AMY,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KARMA GRUP EMEKLİLİK YATIRIM FONU,6,1,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Karma Fon,817589996,4761
ANK,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,1,VIENNALIFE EMEKLİLİK VE HAYAT A.Ş.,Para Piyasası Fonu,92132555,20716
AO1,ANADOLU HAYAT EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,ANADOLU HAYAT EMEKLİLİK A.Ş.,Başlangıç Fonu,1102600401,186367
AO2,ANADOLU HAYAT EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,ANADOLU HAYAT EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,891619159,135930
AVE,AGESA HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,853931863,9980
AVH,AGESA HAYAT VE EMEKLİLİK A.Ş. BIST TEMETTÜ 25 ENDEKSİ EMEKLİLİK YATIRIM FONU,6,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Endeks Fon,574999869,8214
AVJ,AGESA HAYAT VE EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,AGESA HAYAT VE EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,715873822,150865
AVK,AGESA HAYAT VE EMEKLİLİK A.Ş. ORTA VADELİ BORÇLANMA ARAÇLARI EMEKLİLİK YATIRIM FONU,4,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,218539800,5912
AVL,AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,1743659320,13021
AVP,AGESA HAYAT VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,4,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,133579373,5204
AVU,AGESA HAYAT VE EMEKLİLİK A.Ş. İKİNCİ DEĞİŞKEN EMEKLİLİK YATIRIM FONU,4,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,408802448,13314
AVY,AGESA HAYAT VE EMEKLİLİK A.Ş. KARMA GRUP EMEKLİLİK YATIRIM FONU,5,,AGESA HAYAT VE EMEKLİLİK A.Ş.,Karma Fon,134163798,4601
AZA,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,ALLIANZ HAYAT VE EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,375732355,6748
AZL,ALLIANZ HAYAT VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,1,1,ALLIANZ HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,98532977290,376956
BBH,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,6,1,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Hisse Senedi Fonu,346408183,4505
BGE,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DENGELİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,4,1,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Değişken Fon,246195047,2358
BGK,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Borçlanma Araçları Fonu,24951246,853
BKB,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,5,1,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,49374105,808
BNK,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. KATKI  EMEKLİLİK YATIRIM FONU,6,0.361,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,4696860760,345837
BPC,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.361,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Katılım Katkı Fonu,100521798,126062
BPF,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,213878576,12262
BPL,BNP PARIBAS CARDIF EMEKLİLİK A.Ş. BİRİNCİ PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,1.02,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Para Piyasası Fonu,3535840834,92575
CFB,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Başlangıç Fonu,61593433,10198
CFK,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.347,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Katılım Katkı Fonu,47310103,53681
CFY,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,29225644,9077
CGE,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. DENGELİ DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,5,1,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Değişken Fon,55230460,1736
CGG,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,1,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Borçlanma Araçları Fonu,35473528,1798
CHL,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,0.8,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,660389025,12012
CHT,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.24,QNB SAĞLIK HAYAT SİGORTA VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,928854430,80818
FEI,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU,4,0.36,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Devlet Katkısı Fonu,3815014799,285885
FER,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. DEĞIŞKEN GRUP EMEKLİLİK YATIRIM FONU,6,1,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Değişken Fon,152949078,1181
FET,HDI FİBA EMEKLİLİK  VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,1,1.06,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Para Piyasası Fonu,5703249513,47969
FIE,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,2,1.09,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Fonu,254801715,37871
FII,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,3,0.324,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Katılım Katkı Fonu,128299001,119844
FIY,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,1.09,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Katılım Fonu,273381184,40804
FYL,AGESA HAYAT VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.355,AGESA HAYAT VE EMEKLİLİK A.Ş.,Katılım Katkı Fonu,413563996,324388
FYY,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.35,ALLIANZ YAŞAM VE EMEKLİLİK A.Ş.,Katılım Katkı Fonu,488270870,369802
GCV,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,2,0.85,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Fonu,1791128907,352220
GDV,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Katılım Fonu,1294533215,231313
GEF,GARANTİ EMEKLİLİK VE HAYAT A.Ş. DİNAMİK DEĞİŞKEN GRUP EMEKLİLİK YATIRIM FONU,5,0.99,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Değişken Fon,696720867,4105
GEG,GARANTİ EMEKLİLİK VE HAYAT A.Ş. HİSSE SENEDİ GRUP EMEKLİLİK YATIRIM FONU,6,0.99,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Hisse Senedi Fonu,3867982792,10488
GEL,GARANTİ EMEKLİLİK VE HAYAT A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,1,1.06,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Para Piyasası Fonu,112399611333,429046
GHF,GARANTİ EMEKLİLİK VE HAYAT A.Ş. BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,3,0.99,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Borçlanma Araçları Fonu,748353864,11613
GHI,GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.355,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Devlet Katkısı Fonu,32998756095,1596327
GHK,GARANTİ EMEKLİLİK VE HAYAT A.Ş. DIŞ BORÇLANMA ARAÇLARI GRUP EMEKLİLİK YATIRIM FONU,5,0.99,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Dış Borçlanma Araçları Fonu,1111102073,7924
GHL,GARANTİ EMEKLİLİK VE HAYAT A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.355,GARANTİ EMEKLİLİK VE HAYAT A.Ş.,Katılım Katkı Fonu,11546707688,883055
HEG,AXA HAYAT VE EMEKLİLİK A.Ş BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,2,0.85,AXA HAYAT VE EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,61585356,14966
HEL,AXA HAYAT VE EMEKLİLİK A.Ş BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,AXA HAYAT VE EMEKLİLİK A.Ş.,Başlangıç Fonu,59472458,9388
HEP,AXA HAYAT VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,1.01,AXA HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,785418580,20373
HER,AXA HAYAT VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,4,0.3,AXA HAYAT VE EMEKLİLİK A.Ş.,Katılım Katkı Fonu,198940139,63598
HET,AXA HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.3,AXA HAYAT VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,1531869813,138108
HHE,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. AGRESİF DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6,,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,4121132936,111151
HHG,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KAMU DIŞ BORÇLANMA ARAÇLARI (ABD DOLARI 0-5 YIL VADELİ) EMEKLİLİK YATIRIM FONU,5,,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Kamu Yabancı Para (Döviz) Cinsinden Borçlanma Araç,4849801429,137886
HHN,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,6,,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,315908191,12026
HQX,HDI FİBA EMEKLİLİK VE HAYAT A.Ş. KIYMETLİ MADENLER EMEKLİLİK YATIRIM FONU,,,HDI FİBA EMEKLİLİK VE HAYAT A.Ş.,Belirtilmemiş,,
IER,ZURİCH YAŞAM VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,0.95,ZURİCH YAŞAM VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,4458114404,101819
IGE,ZURİCH YAŞAM VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.324,ZURİCH YAŞAM VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,6248085318,192951
